"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.09.2022","1.225,00","1.225,00","1.265,00","1.223,00","2,55M","0,00%"
"29.09.2022","1.225,00","1.269,90","1.278,90","1.206,00","4,24M","-2,00%"
"28.09.2022","1.250,00","1.260,00","1.267,00","1.215,10","4,44M","-0,79%"
"27.09.2022","1.260,00","1.275,10","1.291,00","1.242,00","7,82M","-0,10%"
"26.09.2022","1.261,20","1.345,00","1.345,00","1.261,20","3,68M","-4,82%"
"23.09.2022","1.325,00","1.315,00","1.340,00","1.292,50","1,89M","0,76%"
"22.09.2022","1.315,00","1.277,10","1.318,00","1.277,10","1,32M","1,94%"
"21.09.2022","1.290,00","1.261,10","1.298,70","1.230,00","2,04M","2,30%"
"20.09.2022","1.261,00","1.325,00","1.340,00","1.261,00","5,47M","-5,90%"
"15.09.2022","1.340,00","1.325,00","1.350,00","1.325,00","3,69M","1,52%"
"14.09.2022","1.320,00","1.324,90","1.350,10","1.310,00","5,59M","-0,37%"
"13.09.2022","1.324,90","1.332,10","1.363,00","1.315,00","3,94M","-3,29%"
"12.09.2022","1.370,00","1.350,00","1.377,00","1.320,00","3,49M","1,48%"
"09.09.2022","1.350,00","1.295,00","1.350,00","1.271,10","6,20M","4,25%"
"08.09.2022","1.295,00","1.308,00","1.308,00","1.274,00","2,53M","-1,15%"
"07.09.2022","1.310,00","1.348,00","1.370,00","1.301,10","4,58M","-2,82%"
"06.09.2022","1.348,00","1.371,00","1.414,00","1.312,10","6,90M","-2,32%"
"05.09.2022","1.380,00","1.400,00","1.430,00","1.339,90","5,62M","6,07%"
"02.09.2022","1.301,00","1.255,00","1.380,00","1.255,00","6,92M","3,91%"
"01.09.2022","1.252,00","1.268,00","1.282,00","1.252,00","8,19M","-0,08%"
"31.08.2022","1.253,00","1.320,00","1.335,00","1.253,00","16,00M","-6,49%"
"30.08.2022","1.340,00","1.306,10","1.343,00","1.285,00","4,57M","2,68%"
"29.08.2022","1.305,00","1.263,90","1.318,10","1.253,20","9,05M","3,08%"
"26.08.2022","1.266,00","1.242,00","1.285,00","1.238,10","8,09M","1,28%"
"25.08.2022","1.250,00","1.230,00","1.259,00","1.225,30","4,81M","1,63%"
"24.08.2022","1.230,00","1.230,00","1.235,00","1.222,10","7,53M","-0,40%"
"23.08.2022","1.235,00","1.220,30","1.243,90","1.220,30","9,80M","1,20%"
"22.08.2022","1.220,30","1.196,00","1.238,90","1.196,00","2,95M","2,03%"
"19.08.2022","1.196,00","1.210,00","1.218,90","1.180,00","6,38M","-1,16%"
"18.08.2022","1.210,00","1.210,00","1.233,20","1.180,00","8,27M","-0,72%"
"17.08.2022","1.218,80","1.195,00","1.219,00","1.184,10","67,25M","2,09%"
"16.08.2022","1.193,80","1.215,90","1.215,90","1.170,30","9,00M","-0,52%"
"12.08.2022","1.200,00","1.215,00","1.231,80","1.200,00","4,89M","-2,76%"
"11.08.2022","1.234,00","1.231,00","1.237,70","1.210,10","3,73M","0,49%"
"10.08.2022","1.228,00","1.255,00","1.265,00","1.228,00","2,40M","-1,37%"
"09.08.2022","1.245,00","1.240,00","1.247,00","1.227,10","3,96M","0,48%"
"08.08.2022","1.239,00","1.234,70","1.248,90","1.226,10","5,15M","0,34%"
"05.08.2022","1.234,80","1.222,00","1.243,90","1.222,00","4,78M","0,39%"
"04.08.2022","1.230,00","1.224,80","1.239,00","1.217,00","8,38M","0,42%"
"03.08.2022","1.224,80","1.229,50","1.229,50","1.207,30","9,74M","0,64%"
"02.08.2022","1.217,00","1.225,00","1.230,10","1.203,20","2,51M","-1,06%"
"01.08.2022","1.230,00","1.232,00","1.244,10","1.220,00","5,13M","-0,08%"
"29.07.2022","1.231,00","1.215,00","1.231,00","1.209,40","5,00M","0,65%"
"28.07.2022","1.223,00","1.232,00","1.245,00","1.215,00","4,59M","-1,13%"
"27.07.2022","1.237,00","1.230,00","1.247,90","1.219,60","1,36M","0,57%"
"26.07.2022","1.230,00","1.240,00","1.248,90","1.220,00","2,97M","-0,81%"
"25.07.2022","1.240,00","1.263,90","1.269,90","1.239,70","1,84M","-1,98%"
"22.07.2022","1.265,00","1.260,10","1.269,90","1.246,40","3,02M","0,40%"
"21.07.2022","1.260,00","1.210,00","1.285,00","1.210,00","9,38M","4,13%"
"20.07.2022","1.210,00","1.215,00","1.240,00","1.210,00","5,44M","-0,41%"
"19.07.2022","1.215,00","1.210,10","1.217,40","1.202,00","4,12M","0,41%"
"18.07.2022","1.210,00","1.248,00","1.269,90","1.206,50","5,40M","-3,04%"
"15.07.2022","1.248,00","1.253,10","1.270,00","1.230,10","4,50M","-0,41%"
"14.07.2022","1.253,10","1.228,00","1.265,00","1.228,00","4,88M","1,06%"
"13.07.2022","1.240,00","1.214,00","1.254,90","1.210,00","2,57M","1,22%"
"12.07.2022","1.225,00","1.230,60","1.239,00","1.215,00","3,24M","-1,45%"
"11.07.2022","1.243,00","1.249,00","1.259,00","1.222,00","2,46M","0,65%"
"08.07.2022","1.235,00","1.230,00","1.240,00","1.216,00","2,70M","1,14%"
"07.07.2022","1.221,10","1.190,00","1.237,90","1.181,00","17,21M","2,58%"
"06.07.2022","1.190,40","1.194,10","1.209,90","1.171,00","3,23M","0,03%"
"05.07.2022","1.190,00","1.189,00","1.208,90","1.172,10","3,97M","0,08%"
"04.07.2022","1.189,00","1.196,00","1.219,00","1.175,00","1,63M","-0,59%"
"01.07.2022","1.196,00","1.188,00","1.208,00","1.173,10","2,67M","2,40%"
"30.06.2022","1.168,00","1.190,00","1.197,10","1.162,00","4,73M","-2,59%"
"29.06.2022","1.199,00","1.200,00","1.239,00","1.194,00","6,58M","-0,08%"
