"Fecha","% var."
"30.09.2022","1,49%"
"29.09.2022","-0,18%"
"28.09.2022","-4,33%"
"27.09.2022","-2,19%"
"26.09.2022","-1,17%"
"23.09.2022","-1,21%"
"22.09.2022","-2,56%"
"21.09.2022","0,38%"
"20.09.2022","-4,86%"
"19.09.2022","0,00%"
"16.09.2022","0,00%"
"15.09.2022","-2,41%"
"14.09.2022","-1,64%"
"13.09.2022","-0,62%"
"12.09.2022","1,25%"
"09.09.2022","-2,29%"
"08.09.2022","-0,92%"
"07.09.2022","0,14%"
"06.09.2022","-4,48%"
"05.09.2022","1,91%"
"02.09.2022","4,76%"
"01.09.2022","-2,46%"
"31.08.2022","-0,12%"
"30.08.2022","0,00%"
"29.08.2022","0,52%"
"26.08.2022","0,26%"
"25.08.2022","-0,65%"
"24.08.2022","-1,40%"
"23.08.2022","1,82%"
"22.08.2022","1,04%"
"19.08.2022","0,81%"
"18.08.2022","1,20%"
"17.08.2022","0,27%"
"16.08.2022","1,71%"
"12.08.2022","-0,20%"
"11.08.2022","-0,08%"
"10.08.2022","0,08%"
"09.08.2022","-0,54%"
"08.08.2022","0,00%"
"05.08.2022","-0,20%"
"04.08.2022","-0,07%"
"03.08.2022","-1,27%"
"02.08.2022","-0,40%"
"01.08.2022","1,96%"
"29.07.2022","-1,90%"
"28.07.2022","-0,95%"
"27.07.2022","0,69%"
"26.07.2022","-1,27%"
"25.07.2022","-0,13%"
"22.07.2022","-0,78%"
"21.07.2022","2,80%"
"20.07.2022","4,01%"
"19.07.2022","1,78%"
"18.07.2022","1,21%"
"15.07.2022","-0,99%"
"14.07.2022","0,21%"
"13.07.2022","0,79%"
"12.07.2022","2,94%"
"11.07.2022","-2,86%"
"08.07.2022","1,30%"
"07.07.2022","0,88%"
"06.07.2022","-1,44%"
"05.07.2022","0,55%"
"04.07.2022","0,94%"
"01.07.2022","1,15%"
"30.06.2022","-1,46%"
"29.06.2022","2,00%"
"28.06.2022","4,82%"
"24.06.2022","1,98%"
"23.06.2022","-3,52%"
"22.06.2022","-3,31%"
"21.06.2022","0,00%"
"20.06.2022","0,13%"
"17.06.2022","-0,52%"
"16.06.2022","3,43%"
"15.06.2022","-2,74%"
"14.06.2022","1,35%"
"13.06.2022","-2,21%"
"10.06.2022","3,13%"
"09.06.2022","-2,67%"
"08.06.2022","-0,37%"
"07.06.2022","1,52%"
"06.06.2022","-1,50%"
"03.06.2022","1,86%"
"02.06.2022","1,92%"
"01.06.2022","0,15%"
"31.05.2022","-1,21%"
"30.05.2022","0,30%"
"27.05.2022","1,62%"
"26.05.2022","1,88%"
"25.05.2022","0,55%"
"24.05.2022","-0,28%"
"23.05.2022","1,91%"
"20.05.2022","3,61%"
"19.05.2022","1,18%"
"18.05.2022","-3,55%"
"17.05.2022","3,35%"
"16.05.2022","0,33%"
"13.05.2022","2,59%"
"12.05.2022","-0,85%"
"11.05.2022","-1,68%"
"10.05.2022","-0,65%"
"09.05.2022","0,55%"
"06.05.2022","-1,07%"
"05.05.2022","-4,13%"
"04.05.2022","2,05%"
"03.05.2022","-0,58%"
"02.05.2022","-1,28%"
"29.04.2022","1,13%"
"28.04.2022","-1,59%"
"27.04.2022","-0,06%"
"26.04.2022","0,37%"
"25.04.2022","-3,37%"
"22.04.2022","-2,97%"
"21.04.2022","0,43%"
"20.04.2022","1,85%"
"19.04.2022","0,75%"
"18.04.2022","-3,63%"
"14.04.2022","-0,08%"
