"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.09.2022","102,00","101,70","102,00","100,02","33,68M","1,20%"
"29.09.2022","100,79","101,59","103,28","99,15","56,79M","-0,80%"
"28.09.2022","101,60","102,00","103,00","100,51","72,86M","-0,39%"
"27.09.2022","102,00","102,29","103,90","99,19","39,46M","-0,28%"
"26.09.2022","102,29","103,25","103,25","100,35","77,32M","-0,93%"
"23.09.2022","103,25","102,70","103,45","102,00","15,81M","0,54%"
"22.09.2022","102,70","100,01","102,99","100,01","43,84M","0,70%"
"21.09.2022","101,99","101,19","102,49","98,00","45,72M","0,78%"
"20.09.2022","101,20","102,00","103,00","100,00","56,67M","-0,78%"
"15.09.2022","102,00","103,40","103,40","101,09","86,50M","-0,97%"
"14.09.2022","103,00","102,40","103,94","100,00","148,34M","0,59%"
"13.09.2022","102,40","102,40","103,98","102,32","63,61M","-0,10%"
"12.09.2022","102,50","100,31","102,90","100,31","43,52M","1,59%"
"09.09.2022","100,90","100,90","102,50","100,05","31,56M","0,00%"
"08.09.2022","100,90","100,79","101,30","99,70","24,39M","0,00%"
"07.09.2022","100,90","100,00","100,90","99,05","36,55M","0,00%"
"06.09.2022","100,90","102,00","104,06","100,00","74,34M","-1,06%"
"05.09.2022","101,98","105,51","108,00","99,50","63,52M","0,02%"
"02.09.2022","101,96","96,90","102,49","96,90","102,16M","4,90%"
"01.09.2022","97,20","98,00","98,07","95,51","60,82M","0,10%"
"31.08.2022","97,10","99,30","100,29","97,10","177,25M","-2,23%"
"30.08.2022","99,31","98,65","99,99","98,65","122,85M","0,31%"
"29.08.2022","99,00","98,76","101,80","96,41","56,86M","0,24%"
"26.08.2022","98,76","99,50","99,50","97,00","21,28M","-0,74%"
"25.08.2022","99,50","99,00","99,96","98,48","20,56M","0,20%"
"24.08.2022","99,30","99,80","100,90","98,99","224,48M","-0,50%"
"23.08.2022","99,80","99,00","101,20","98,50","104,71M","0,81%"
"22.08.2022","99,00","98,95","99,79","98,02","142,25M","0,10%"
"19.08.2022","98,90","98,50","98,92","98,10","51,18M","0,41%"
"18.08.2022","98,50","97,55","98,72","97,53","95,57M","1,03%"
"17.08.2022","97,50","96,60","98,30","96,55","229,08M","0,00%"
"16.08.2022","97,50","98,99","99,98","95,51","98,80M","-1,51%"
"15.08.2022","98,99","98,99","98,99","98,99","","0,00%"
"12.08.2022","98,99","97,90","98,99","97,50","45,89M","1,42%"
"11.08.2022","97,60","94,90","97,80","94,00","71,79M","2,74%"
"10.08.2022","95,00","94,01","95,00","94,00","67,97M","1,07%"
"09.08.2022","93,99","93,93","94,78","93,51","21,60M","-0,23%"
"08.08.2022","94,21","94,60","94,94","93,92","32,33M","0,12%"
