"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"30.09.2022","3,4125","3,4270","3,4745","3,3885","75,36K","-0,16%"
"29.09.2022","3,4180","3,3810","3,4335","3,3055","86,45K","1,35%"
"28.09.2022","3,3725","3,3040","3,4030","3,2590","1,00K","2,35%"
"27.09.2022","3,2950","3,3050","3,3615","3,2900","0,18K","-0,30%"
"26.09.2022","3,3050","3,3565","3,3690","3,2935","0,51K","-1,55%"
"23.09.2022","3,3570","3,4700","3,4700","3,3375","0,32K","-3,59%"
"22.09.2022","3,4820","3,4510","3,5160","3,4390","0,14K","0,04%"
"21.09.2022","3,4805","3,5095","3,5235","3,4350","0,30K","-1,01%"
"20.09.2022","3,5160","3,5405","3,5575","3,5000","0,22K","-0,27%"
"19.09.2022","3,5255","3,5400","3,5410","3,4900","0,08K","-0,16%"
"16.09.2022","3,5310","3,4800","3,5540","3,4435","0,14K","0,86%"
"15.09.2022","3,5010","3,5290","3,5600","3,4830","0,16K","-0,81%"
"14.09.2022","3,5295","3,5405","3,5640","3,5205","0,18K","-1,02%"
"13.09.2022","3,5660","3,6205","3,6950","3,5365","0,42K","-1,37%"
"12.09.2022","3,6155","3,5540","3,6225","3,5370","0,34K","1,19%"
"09.09.2022","3,5730","3,5635","3,6265","3,5430","0,14K","1,20%"
"08.09.2022","3,5305","3,4515","3,5505","3,4515","0,10K","2,81%"
"07.09.2022","3,4340","3,4070","3,4555","3,4070","0,20K","-0,88%"
"06.09.2022","3,4645","3,3920","3,4950","3,3915","0,20K","0,32%"
"05.09.2022","3,4535","3,3887","3,4660","3,3857","","1,91%"
"04.09.2022","3,3887","3,3950","3,4000","3,3613","","-0,83%"
"02.09.2022","3,4170","3,4180","3,4545","3,3895","0,16K","0,25%"
"01.09.2022","3,4085","3,5025","3,5025","3,4120","0,21K","-3,14%"
"31.08.2022","3,5190","3,5695","3,5820","3,4495","0,36K","-0,86%"
"30.08.2022","3,5495","3,6085","3,6085","3,5365","0,34K","-1,64%"
"29.08.2022","3,6085","3,6990","3,6990","3,5640","0,78K","-2,39%"
"26.08.2022","3,6970","3,7020","3,7825","3,6815","0,52K","-0,04%"
"25.08.2022","3,6985","3,6435","3,7050","3,6435","0,49K","1,38%"
"24.08.2022","3,6480","3,6810","3,6810","3,6370","0,41K","-1,30%"
"23.08.2022","3,6960","3,6560","3,7270","3,6405","0,44K","1,18%"
"22.08.2022","3,6530","3,6650","3,6830","3,6095","0,28K","-0,42%"
"19.08.2022","3,6685","3,6415","3,6700","3,6275","0,10K","0,96%"
"18.08.2022","3,6335","3,5710","3,6590","3,5710","0,15K","1,30%"
"17.08.2022","3,5870","3,6345","3,6420","3,5780","0,23K","-1,09%"
"16.08.2022","3,6265","3,6025","3,6390","3,6025","0,36K","0,14%"
"15.08.2022","3,6215","3,6255","3,6255","3,5655","0,16K","-1,42%"
"12.08.2022","3,6735","3,6985","3,7050","3,6520","0,17K","-1,02%"
"11.08.2022","3,7115","3,6490","3,7110","3,6490","0,14K","1,53%"
"10.08.2022","3,6555","3,5950","3,6605","3,5755","0,18K","1,75%"
"09.08.2022","3,5925","3,5895","3,6300","3,5850","0,08K","-0,01%"
"08.08.2022","3,5930","3,5725","3,6220","3,5460","0,12K","0,96%"
"05.08.2022","3,5590","3,4815","3,5750","3,4815","0,14K","2,04%"
"04.08.2022","3,4880","3,4420","3,5110","3,4420","0,20K","0,46%"
"03.08.2022","3,4720","3,5135","3,5150","3,4585","0,11K","-1,43%"
"02.08.2022","3,5225","3,5400","3,5400","3,4650","0,06K","-0,69%"
"01.08.2022","3,5470","3,5530","3,5670","3,5245","0,05K","-0,78%"
"29.07.2022","3,5750","3,5005","3,5960","3,4765","0,28K","2,70%"
"28.07.2022","3,4810","3,4810","3,5200","3,4760","0,26K","1,49%"
"27.07.2022","3,4300","3,3925","3,4780","3,3680","57,76K","1,34%"
"26.07.2022","3,3845","3,3675","3,4655","3,3490","64,28K","0,89%"
"25.07.2022","3,3545","3,3230","3,4050","3,3135","55,13K","0,15%"
"22.07.2022","3,3495","3,3050","3,3990","3,2955","60,95K","1,55%"
"21.07.2022","3,2985","3,3135","3,3240","3,2505","53,92K","-0,80%"
"20.07.2022","3,3250","3,2945","3,3755","3,2915","61,78K","1,03%"
"19.07.2022","3,2910","3,3155","3,3280","3,2530","56,25K","-1,64%"
"18.07.2022","3,3460","3,2465","3,3710","3,2170","62,48K","3,46%"
"15.07.2022","3,2340","3,2285","3,2775","3,1315","80,37K","0,70%"
"14.07.2022","3,2115","3,3105","3,3300","3,1745","71,20K","-3,34%"
"13.07.2022","3,3225","3,2610","3,3430","3,2165","87,21K","1,05%"
"12.07.2022","3,2880","3,4255","3,4570","3,2465","61,62K","-4,15%"
"11.07.2022","3,4305","3,5050","3,5205","3,3865","60,90K","-2,60%"
"08.07.2022","3,5220","3,5430","3,5715","3,4440","58,22K","-1,40%"
"07.07.2022","3,5720","3,4410","3,5800","3,3965","90,16K","4,81%"
"06.07.2022","3,4080","3,4265","3,4595","3,2730","82,34K","-0,20%"
"05.07.2022","3,4150","3,6150","3,6235","3,4000","107,35K","-4,72%"
"04.07.2022","3,5840","3,6117","3,6172","3,5457","","-0,76%"
