,fecha,cierre,apertura,max,min,var_un_dia,dia,mes,anho,var_dos_dias,var_tres_dias,var_semana,var_empresa_uno,var_empresa_dos,var_empresa_tres,dolar,cu,subio
0,30.09.2022,5035.38,5100.24,5109.4,5024.98,-1.27,30,9,22,-2.77,-3.3,-8.83,-0.18,-2.0,-0.8,0.8,1.35,True
1,29.09.2022,5100.24,5180.64,5191.9,5099.7,-1.55,29,9,22,-2.05,-3.82,-9.08,-4.33,-0.79,-0.39,-2.92,2.35,False
2,28.09.2022,5180.64,5178.75,5222.29,5140.17,0.04,28,9,22,-2.31,-3.51,-7.17,-2.19,-0.1,-0.28,-0.89,-0.3,False
3,27.09.2022,5178.75,5207.22,5249.16,5176.1,-0.55,27,9,22,-3.55,-3.04,-7.46,-1.17,-4.82,-0.93,2.46,-1.55,True
4,26.09.2022,5207.22,5303.06,5303.06,5207.09,-1.81,26,9,22,-2.5,-5.72,-7.21,-1.21,0.76,0.54,2.65,-3.59,False
5,23.09.2022,5303.06,5369.33,5370.19,5294.71,-1.23,23,9,22,-3.98,-5.46,-3.87,-2.56,1.94,0.7,0.9,0.04,False
6,22.09.2022,5369.33,5340.97,5401.64,5334.24,0.54,22,9,22,-4.28,-3.79,-3.1,0.38,2.3,0.78,0.38,-1.01,False
7,21.09.2022,5340.29,5522.92,5549.84,5340.29,-3.31,21,9,22,-4.31,-4.57,-4.78,-4.86,-5.9,-0.78,1.03,-0.27,True
9,15.09.2022,5609.33,5580.67,5660.64,5567.96,0.51,15,9,22,-0.05,1.68,-0.78,-1.64,-0.37,0.59,0.48,-1.02,False
10,14.09.2022,5580.67,5596.26,5629.68,5527.69,-0.28,14,9,22,1.16,0.72,3.19,-0.62,-3.29,-0.1,2.03,-1.37,True
11,13.09.2022,5596.26,5612.07,5647.99,5578.31,-0.28,13,9,22,1.0,-0.21,2.85,1.25,1.48,1.59,-0.67,1.19,False
15,07.09.2022,5607.74,5779.25,5842.38,5587.53,-2.9,7,9,22,3.69,3.06,2.69,-4.48,-2.32,-1.06,1.2,0.32,False
16,06.09.2022,5775.25,5653.2,6013.31,5653.2,2.16,6,9,22,6.14,4.31,6.59,1.91,6.07,0.02,0.34,1.91,False
17,05.09.2022,5653.2,5408.05,5708.68,5227.82,4.53,5,9,22,2.11,2.47,5.13,4.76,3.91,4.9,-2.05,-0.83,True
18,02.09.2022,5408.05,5441.26,5455.21,5380.19,-0.61,2,9,22,-1.98,-0.98,1.27,-2.46,-0.08,0.1,0.01,-3.14,True
19,01.09.2022,5441.26,5536.39,5549.94,5440.79,-1.72,1,9,22,-0.38,-0.35,2.8,-0.12,-6.49,-2.23,0.74,-0.86,False
21,30.08.2022,5517.11,5461.8,5517.32,5421.8,1.01,30,8,22,1.83,2.6,2.07,0.52,3.08,0.24,-1.19,-2.39,True
22,29.08.2022,5461.8,5460.61,5479.18,5440.73,0.02,29,8,22,1.57,2.27,1.39,0.26,1.28,-0.74,-0.51,-0.04,True
23,26.08.2022,5460.61,5418.17,5465.83,5417.39,0.78,26,8,22,2.25,3.17,1.22,-0.65,1.63,0.2,-2.47,1.38,True
24,25.08.2022,5418.17,5377.52,5426.42,5375.0,0.76,25,8,22,2.37,1.36,1.73,-1.4,-0.4,-0.5,0.49,-1.3,True
25,24.08.2022,5377.52,5340.49,5388.47,5335.79,0.69,24,8,22,0.6,-0.51,1.98,1.82,1.2,0.81,-2.35,1.18,True
26,23.08.2022,5340.49,5292.84,5354.79,5257.92,0.9,23,8,22,-1.2,-0.86,1.99,1.04,2.03,0.1,-0.69,-0.42,True
27,22.08.2022,5292.84,5345.53,5353.89,5265.31,-0.99,22,8,22,-1.74,-1.89,0.62,0.81,-1.16,0.41,1.69,0.96,True
28,19.08.2022,5345.53,5405.31,5405.31,5322.12,-1.11,19,8,22,-0.92,0.37,2.55,1.2,-0.72,1.03,3.48,1.3,False
30,17.08.2022,5386.81,5394.91,5445.34,5339.35,-0.15,17,8,22,2.16,2.87,3.47,1.71,-0.52,-1.51,0.06,0.14,True
32,12.08.2022,5325.9,5272.93,5325.9,5260.33,1.0,12,8,22,1.25,2.18,1.28,-0.08,0.49,2.74,-0.26,1.53,True
33,11.08.2022,5272.93,5236.34,5286.93,5236.34,0.7,11,8,22,1.16,1.9,0.26,0.08,-1.37,1.07,-1.85,1.75,True
34,10.08.2022,5236.34,5260.34,5260.34,5215.81,-0.46,10,8,22,1.19,0.58,-0.44,-0.54,0.48,-0.23,-0.28,-0.01,True
36,08.08.2022,5212.4,5174.64,5212.4,5131.05,0.73,8,8,22,-0.69,-0.87,0.24,-0.2,0.39,1.0,1.75,2.04,True
37,05.08.2022,5174.64,5206.05,5222.06,5154.0,-0.6,5,8,22,-1.59,-1.61,-1.18,-0.07,0.42,0.72,-1.03,0.46,True
38,04.08.2022,5206.05,5248.53,5269.32,5181.83,-0.81,4,8,22,-1.01,-1.01,-0.27,-1.27,0.64,0.01,0.25,-1.43,False
39,03.08.2022,5248.53,5258.39,5261.32,5219.63,-0.19,3,8,22,-0.21,-0.05,0.85,-0.4,-1.06,0.53,1.99,-0.69,False
40,02.08.2022,5258.39,5259.05,5272.84,5229.79,-0.01,2,8,22,0.13,1.12,2.16,1.96,-0.08,0.88,-0.92,-0.78,False
41,01.08.2022,5259.05,5259.39,5287.3,5243.19,-0.01,1,8,22,1.13,0.43,1.92,-1.9,0.65,0.77,-0.74,2.7,False
43,28.07.2022,5251.32,5200.13,5251.39,5189.1,0.98,28,7,22,0.59,0.9,3.13,0.69,0.57,0.56,-1.88,1.34,True
44,27.07.2022,5200.13,5236.33,5238.16,5183.07,-0.69,27,7,22,-0.08,1.03,1.25,-1.27,-0.81,-0.54,-1.34,0.89,True
45,26.07.2022,5236.33,5220.33,5237.57,5186.73,0.31,26,7,22,1.74,1.48,2.32,-0.13,-1.98,-0.45,-1.47,0.15,False
46,25.07.2022,5220.33,5204.45,5237.57,5189.38,0.31,25,7,22,1.17,2.73,2.88,-0.78,0.4,0.01,2.42,1.55,True
47,22.07.2022,5204.45,5147.0,5205.13,5121.9,1.12,22,7,22,2.41,2.21,2.89,2.8,4.13,1.89,0.25,-0.8,True
49,20.07.2022,5160.19,5081.74,5160.19,5069.56,1.54,20,7,22,0.47,0.83,1.15,1.78,0.41,2.85,-1.96,-1.64,False
50,19.07.2022,5081.74,5091.73,5140.46,5071.34,-0.2,19,7,22,-0.7,0.15,1.49,1.21,-3.04,1.22,-2.76,3.46,True
51,18.07.2022,5091.73,5136.05,5137.91,5057.68,-0.86,18,7,22,0.34,0.66,1.76,-0.99,-0.41,-0.56,-7.43,0.7,False
